Accession #,Panel #,Title,Description,"PUBLICATION
Info as of April 15, 2025",page number
258,3,Embroidered Blouse Sleeve,Graphic - Artist Unknown,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",80
273,3,Map of Galicia & Surrounding Territories, Unknown Cartographer,Unknown Publication,
294,3,Woman & Swan,Graphic - Artist Unknown,Unknown Publication,
308,3,Woman Holding Child,Graphic - Artist Unknown,Unknown Publication,
325,3,Landscape with Tree,Artist Unknown,Unknown Publication,
399,3,"Юрко Куцак
Yurko Kutsak",,Unknown Publication,
414,3,"Василь і Марія Демянюк
William & Mary Demianiuk ",Anniversary Photograph,Unknown Publication,
467,3,"Пан і Пані Манушів
Mr. & Mrs. Manushiv",,Unknown Publication,
483,3,"Пані Федчун
Mrs. Fedchun",,Unknown Publication,
493,3,"Роман Крисик 
Roman Krysyk  
",,Unknown Publication,
554,3, Mr. Reimer,,Unknown Publication,
574,3,Portrait of a Man,Unidentified,Unknown Publication,
585,3,"Пані Ілюк
Mrs. Eliuk",,Unknown Publication,
592,3,"Марія Кондрачук/
Maria Kondrachuk",,Unknown Publication,
595,3,"Григорій Кривяк
Gregory Kreviak ",,Unknown Publication,
640,3,Little Bird," Children's Poetry 
Illustrated by  O. Liaturynska","""Бедрик"" О. Лятуринська ; упорядкувала. О. Соловей
Bendryk By O Liaturynska; Edited by O. Solovey
(1956)",11a
707,3,"Іван Войсенко
Ivan [John] Woycenko",,Unknown Publication,
710,3,"Марія Запаринюк
Maria Zaparyniuk ",,Unknown Publication,
720,3,"Богдан Ґаук
Bohdan (Robert) Gauk",,Unknown Publication,
734,3,"Отец і Пані Гаврик
Reverend & Mrs. Hawryk",,Unknown Publication,
754,3,"Марія Ткачук
Mary Tkachuk",,Unknown Publication,
757,3,Portrait of a Man,Unidentified,Unknown Publication,
801,3,Alexandra Fedorovna,,Unknown Publication,
823,3,Sir John A. MacDonald,"First Prime Minister of Canada, serving from 1867 to 1873 and from 1878 until his death in 1891.",Unknown Publication,
844,3,"Андрій Марусик
Andrew Marusyk",,Unknown Publication,
899,3,"Соломія Крушельницька
Solomeya Krushelnitska",Opera Star,Unknown Publication,
959,3,"Петро Лупішка
Peter Lupishka",,Unknown Publication,
980,3,"Данило і Ганна Мазуренко
Daniel & Hanya Mazurenko",,Unknown Publication,
985,3,"Іван Ю. Марія Карасевич
John George & Marie Karasevich",,Unknown Publication,
999,3,"Пан і Пані Савіцький-Брентфорд
Mr. & Mrs. Sawitsky-Brantford",,Unknown Publication,
1004,3,Portrait of a Couple,,Unknown Publication,
1036,3,"С і С Круліцькі
S & S Krulitsky ",,Unknown Publication,
1088,3,"Пані Ірина Янчак-Торино
Mrs. Irene Yanchuk-Torence",,Unknown Publication,
1101,3,"Василь Сторощук
Vasyl [William] Storozchuk",,Unknown Publication,
1106,3,"Петро Береза
Peter Bereza",,Unknown Publication,
1110,3,"[молодий] Лaріоник
[Squire] Larionyk",,Unknown Publication,
1135,3,Tsar Nicholas,,Unknown Publication,
1145,3,Embroidery Pattern,Nyzynka Stitch ,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
",17
1161,3,"Пригоди Рубенса
Pryhody Rubensa",Book Cover - Green Plage,"Пригоди Рубенса - Анатоль Галан
Pryhody Rubensa  by Anatol' Halan
1968",Cover  
1194,3,"Анастасія Тріщук
Anastasia Trischuk",,Unknown Publication,
1200,3,"Матвій Тимощук
Matthew Tymoshchuk",,Unknown Publication,
1225,3,"Пані Проців 
Mrs. Prosiv",,"25th anniversary concert program
1968",
1231,3,"Нарожняк
Naroshniak",,"25th anniversary concert program
1968",
1233,3,"Круник
Krunik",,"25th anniversary concert program
1968",
1235,3,"ПаніРоманів
Mrs. Romaniv",,"25th anniversary concert program
1968",
1239,3,"Риґайло
Regaylo",,"25th anniversary concert program
1968",
1242,3,"Пфні Білоус 
Mrs. Bilous",,"25th anniversary concert program
1968",
1248,3,"Пані Боянівський
Ms. Boyaniwsky",,"25th anniversary concert program
1968",
1266,3,UWAC Group Photo ,"Olha Kobylianska Branch. Hudson Bay, SK
c.1951",Twenty Five Years of UWAC 1926-1951,512
1296,3,UWAC Group Portraits,"O. Basaraba Branch. 
Pine River, Manitoba.",Twenty Five Years of UWAC 1926-1951,298
1344,3,"Євген Тхоревський
Eugene Tоrevsky ",,Unknown Publication,
1355,3,"М. Мандзюк
M. Mandziuk",,Unknown Publication,
1415,3,Steamboat on the Water,,Unknown Publication,
1425,3,Group Photo ,"Mohyla Women's Association
Saskatoon, SK
1944.",Unknown Publication,
1432,3,Graduation Photos,"Graduating class of 1942-1943 
Peter Mohyla Ukrainian Institute
Saskatoon, SK",Unknown Publication,
1627,3,Ukrainian Ruler,Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",109
1773,3,"Пана Коропатцька
Miss Korpatsky",,Unknown Publication,
1774,3,Portrait of a Young Woman,Unidentified,Unknown Publication,
1856,3,Transfiguration Cathedral,,Unknown Publication,
1876,3,"St. Volodymyr Church, West Fort William, Ontario",,Unknown Publication,
1882,3,"Ukrainian Orthodox Church Iconostas, Sandy Lake",,Unknown Publication,
1959,3,"Наталя Кравець
Natalia Kravetz",,Promin,
2100,3,UCC - Group Photo,"UCC Women's Group
Winnipeg, MB",Unknown Publication,
2104,3,UWAC Parade Float,,Unknown Publication,
2118,3,"Ukrainian Woman in Choreography
Cover - second plate ",Second plate for the cover.,"Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",front cover
2131,3,Group Photo - Toronto,Unidentified,Unknown Publication,
2137,3,UCC Toronto Signing a Document,Signing a Document,Unknown Publication,
2143,3,Woman Carrying Food,Illustration by Wadym Dobrolige,Traditional Ukrainian Cookery by Savella Stechishin (1957),81;287
2165,3,Mr. & Mrs. Sam Chaba,"Redwater, AB",Unknown Publication,
2202,3,UWAC Wymer,"O. Basaraba Branch
Wymer, SK.  ",Twenty Five Years of UWAC 1926-1951,464
2251,3,Elaine Verchomin, Modeling a White Embroidered Dress,Ukrainian Embroidery Designs and Stitches  (1957),125
2257,3,Embroidery Pattern  ,Fig. 181,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",95;181
2272,3,Stitch Samples ,Fig. 6-8,Ukrainian Embroidery Designs and Stitches  (1957),26
2285,3,Stitch Tutorials,,Ukrainian Embroidery Designs and Stitches  (1957),37
2287,3,Embroidery Pattern ,Fig. 114,Ukrainian Embroidery Designs and Stitches  (1957),76
2289,3,Woman Baking,Unidentified,Unknown Publication,
2312,3,Preparing for Easter,Mrs N. Trischuk holding a copy of Traditional Ukrainian Cookery as Slava Prokopovich holds some baking.,Unknown Publication,
2347,3,Group Photo,Unidentified,Unknown Publication,
2351,3,UWAC Group Photo ," O. Kobyllanska Branch
Rosa, MB
1951","History of the Ukrainian Women's Association of Canada
1952",
2353,3,Group Photo,Unidentified,Unknown Publication,
2378,3,Portrait of a Royal Woman,Unidentified,Unknown Publication,
2521,3,Turkeys on a Poultry Farm,Unidentified,Unknown Publication,
2546,3,Group Photo,Unidentified,Unknown Publication,
2579,3,Group Photo,Unidentified,Unknown Publication,
2585,3,Group Photo at Exhibition,Unidentified,Unknown Publication,
2612,3,Group Photo,Unidentified,Unknown Publication,
2617,3,Group Photo,Unidentified,Unknown Publication,
2619,3,Three Women,Unidentified,Unknown Publication,
2642,3,UWAC Group Photo  , Vita 1962,Unknown Publication,
2644,3,Group Photo,Unidentified,Unknown Publication,
2649,3,Group Photo,Unidentified,Unknown Publication,
2672,3,Wedding Portrait,Unidentified,Unknown Publication,
2686,3,Group Photo,Unidentified,Unknown Publication,
2688,3,Group Photo,Unidentified,Unknown Publication,
2694,3,Group Photo,Unidentified,Unknown Publication,
2718,3,Group Photo,Unidentified,Unknown Publication,
2728,3,Group Photo,Unidentified,Unknown Publication,
2762,3,Group Photo of Women,Unidentified,Unknown Publication,
2769,3,Group Photo,Unidentified,Unknown Publication,
2796,3,Three Girls & a Portrait,Unidentified,Unknown Publication,
2804,3,Discussion Panel,Unidentified,Unknown Publication,
2805,3,Two Women & a Display,Unidentified,Unknown Publication,
2813,3,Man Giving a Speech,Unidentified,Unknown Publication,
2817,3,Group Photo,Unidentified,Unknown Publication,
2828,3,Group Photo,Unidentified,Unknown Publication,
2850,3,Group Photo,Unidentified,Unknown Publication,
2895,3,March or Parade,,Unknown Publication,
2906,3,Family Photo,Unidentified,Unknown Publication,
2995,3,"H. Janishewsky, M. Michalyshyn, Dobr. J. Melnychuk.", ,"A Half Century of Service to the Community UWAC 1926-1976
1986",23
3044,3,Embroidery Pattern,,Promin March 1971,21
3056,3,Embroidered Hanky,,Promin March 1970,8
3071,3,Fashion Illustration ,Artist Unknown,Promin November 1967,32
3074,3,Fashion Illustration,Artist Unknown,Promin January 1968,29
3092,3,Nativity Scene  ,by Oleksa Bulavetsky,Promin January 1964,cover
3096,3,Taras Shevchenko,"Taras Shevchenko's self-portrait created in Potoky Village, near Kyiv, in 1845—Pencil on paper.",Promin March 1964,cover
3116,3,Embroidered Priests' Vestments,Submitted by Sophia Senyshyn.,Promin January 1962,32
3124,3, Ukrainian Handicrafts Exhibit,"UWAC members at St. John's Cathedral in Edmonton. 
Left to right: Mrs R. Skakun, Mrs M. Hawrysh, Mrs A. Dsoba.",Promin December 1962,25
3130,3,Embroidery Pattern for Placemats,"Nyzynka Stitch. 
Submitted by Eudokia Pavlukevych
Winnipeg, MB",Promin November 1961,30
3147,3, Embroidery Pattern,Poltava region,Promin June 1979,32
3149,3, Embroidery Pattern, Bukovynian cross-stitch pattern,Promin January 1979,21
3150,3, Embroidery Pattern,"Bukovynian pattern from the village of Zhadova, Ukraine.",Promin July-August 1978,31
3151,3, Embroidery Pattern,Bukovynian cross-stitch pattern.,Promin March 1979,32
3157,3, Embroidery Pattern,Submitted by UMC Toronto.,Promin October 1972,32
3203,3,Embroidery Sample,"Step #1 to create ""open work hardanger.""","Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",51
3228,3, Embroidery Pattern,,Promin December 1974,7
3242,3, Embroidery Pattern,,Promin,
3245,3, Embroidery Pattern,Rose Motif,Promin,
3249,3, Embroidery Pattern,,Promin,
3364,3,Ceramic Plate  ,by Slava Gerluk,Promin April 1972,15
3399,3,Woman Modeling Embroidered Evening Gown,Unidentified,Ukrainians in Canada (1st edition) by Olha Woycenko 1967,32 i6
3400,3,Lesya Ziubrak  ,Folk singer-posing with bandura.,Ukrainians in Canada (1st edition) by Olha Woycenko 1967,161 i8
3417,3,CYMK Dancers,"Windsor, ON",Unknown Publication,
3459,3,Child Holding a Doll ,"The Illustration goes with a story by Lesia Ukrainka. 
Artist Unknown.",Promin September 1981,11
3515,3,Mohyla Graduate Portraits,Graduate Portraits for the class of 1928-1929 from the Peter Mohyla Institute.,Unknown Publication,
3516,3,Family Photograph,From Zbaraz (Bukovyna),Unknown Publication,
3518,3,Group Photo in Front of St. Andrews College,"InFront of St. Andrews College. Caption on back ""Bodnerchuk""",Unknown Publication,
3557,3,Ukrainian Church,Unidentified,Unknown Publication,
3580,3,Group Photo  ,Unidentified,Unknown Publication,
3639,3,"Могила Шевченка 
Shevchenko's Grave","Prayer Service for Taras Shevchenko at his gravesite 
1914",Unknown Publication,
3654,3,Priest & Altar Boys,Unidentified,Unknown Publication,
3671,3,Outdoor Religious Procession,Unidentified,Unknown Publication,
3715,3,Group Photo of Cadets,Unidentified,Unknown Publication,
3718,3,Portrait of a Priest,Unidentified,Unknown Publication,
3727,3,Portrait of a Man,Unidentified,Unknown Publication,
3731,3,Portrait of a Man,Unidentified,Unknown Publication,
3740,3,Portrait of a Man,Unidentified,Unknown Publication,
3744,3,Portrait of a Man,Unidentified,Unknown Publication,
3745,3,Portrait of a Man,Unidentified,Unknown Publication,
3755,3,Portrait of a Man,Unidentified,Unknown Publication,
3760,3,Portrait of a Man,Unidentified,Unknown Publication,
3802,3,Portrait of a Man,Unidentified,Unknown Publication,
3810,3,Portrait of a Man,Unidentified,Unknown Publication,
3815,3,Portrait of a Musician,Unidentified,Unknown Publication,
3840,3,Three Portraits of Men,Unidentified,Unknown Publication,
3865,3,Portrait of a Man with Glasses,Unidentified,Unknown Publication,
3888,3,Portrait of a Man,Unidentified,Unknown Publication,
3937,3,Portrait of a Woman,Unidentified,Unknown Publication,
3987,3,Portrait of a Young Woman,Unidentified,Unknown Publication,
3988,3,"О. Бенцалева
Mrs. O. Bensaleva",,Unknown Publication,
4019,3,Standing Portrait of a Woman,Unidentified,Unknown Publication,
4081,3,Portrait of a Woman,Unidentified,Unknown Publication,
4122,3,Portrait of a Woman,Unidentified,Unknown Publication,
4147,3,Portrait of a Woman,Unidentified,Unknown Publication,
4157,3,Natalia Kohuska,,Twenty Five Years of UWAC 1926-1951,12
4175,3,Portrait of a Woman,Unidentified,Unknown Publication,
4213,3,Portrait of a Woman,Unidentified,Unknown Publication,
4234,3,Genia Kostash,"Genia recieved the ""General Motors Scholaship"" at the University of Alberta - Honours in Arts",Promin December 1963,13
4240,3,Portrait of a Nurse,Unidentified,Unknown Publication,
4258,3,Natlaka Solona,"Graduation BSc MS PhD - Edmonton, AB",Promin Setpember/October 1962,11
4261,3,Portrait of a Young Woman,Unidentified,Unknown Publication,
4292,3,Volodymyr & Sonia Lysi,Wedding Photograph,Unknown Publication,
4303,3,Bride & Groom,Young couple is from Calgary. The bride is the daughter of Mr. & Mrs Bisoky,Unknown Publication,
4308,3,"Михайло і Анна Янчула
Michael & Anna Yanchula","Ванкувер, БК Фундатори 
Vancouver, BC.  Founding Donors
$1000.00 ",Unknown Publication,
4315,3,Anniversary Couple ," Kallaschuk's from Hafford, SK",Unknown Publication,
4317,3," Пан і Пані Редчуки
Mr & Mrs. Radchuk",,Unknown Publication,
4331,3,Anniversary Couple,Unidentified,Promin,
4371,3,Icon,Wood relief carving. Artist Unknown,Unknown Publication,
4415,3,Family Photo,Unidentified,Unknown Publication,
4422,3,Family Photo,Unidentified,Unknown Publication,
4439,3,Boating on the Lake,,Unknown Publication,
4530,3,Boy Sleeping by a Tree,Pen & Ink - Unknown Artist,Unknown Publication,
4558,3,Taras Shevchenko Serenaded by a Violinist,Unknown Artist,Unknown Publication,
4561,3,Rowboat Trouble,Unknown Artist,Unknown Publication,
4632,3,Mixed Choir Group Photo,Unidentified,Unknown Publication,
4637,3,Theatre Troupe,Unidentified,Unknown Publication,
4646,3,Bishop Boris ,Signature,Unknown Publication,
4665,3,Tryzub & Fleur de Lis Crest,"""Вірний до смерти"" [Believer Until Death] ДРОТ - PLAST EMBLEM",Unknown Publication,
4671,3,Brandon Chamber of Commerce,Stamp,Unknown Publication,
4680,3,Crest,,Unknown Publication,
4692,3,Tree Crest,,Unknown Publication,
4703,3,Woman on the Telephone,Graphic Drawing. Unknown Artist,Unknown Publication,
4719,3,Jolly Santa,Graphic Drawing. Unknown Artist - Image printed in various publications during th Christmas season.,Unknown Publication,
4733,3,Orthodox Cross,,Unknown Publication,
4787,3,«Христос» (Christ),«Христос» (Christ) to accompany the block 4767 that reads «Воскрес!» (has Risen!),Unknown Publication,
4797,3,Embroidered Cloths,,Promin,
4837,3,Girl Slumped Over Cemetary Memorial Cross,Unknown Artist,"Калиндар Українського голосу
Ukrainian Voice Almanac 
1950",140
4857,3,Poem by Taras Shevchenko,,"Калиндар Українського голосу
Ukrainian Voice Almanac 
1961",45
4862,3,Taras Shevchenko,Self portrait,Unknown Publication,
4872,3, Taras Shevchenko,Self portrait 1841,Unknown Publication,
4966,3,"Icon of Mary, Joseph & Jesus","For Holy Trinity Cathedral 1175 Main St., Winnipeg, MB.",Unknown Publication,
4976,3,Woman Holding Kalyna ,Illustration by Ludmilla Temerty,Promin,
4995,3,Painted Portrait of a Young Woman with Bangs,Unknown Artist,Unknown Publication,
5007,3,Sled Dogs,,Unknown Publication,
5040,3,Two Children in Ukrainian Dance Costumes,"Captin on back: 
Марґарета Гаврихаськи танцюртстів: Івась",Unknown Publication,
5101,3,Teteriv River Near Zhytomir,,Unknown Publication,
5153,3,Pinning a Ribbon,Unidentified,Unknown Publication,
5165,3,Pinning a Ribbon,Unidentified,Unknown Publication,
5171,3,Graphic Floral Motif,,Unknown Publication,
5174,3,Men Shaking Hands,Unidentified,Unknown Publication,
5179,3,Three Women Posed With Trophies,Unidentified,Unknown Publication,
5216,3,Річний Звіт - Annual Report,,Unknown Publication,
5217,3,"«Початки Організаційного Руху в Канаді»
The Beginnings of the Organizational Movement in Canada",,Unknown Publication,
5247,3,Commemorative Ribbon,Visitation by Metropolitan Wasyl to Saint Mary the Protectress in Winnipeg., ,
5282,3,Little Boy in the Garden,Unidentified,Unknown Publication,
5356,3,"""Новими Дорогами"" 
 Via New Roads( ","Book Cover - Unknown Artist
Біографічний нарис про Василя Перепелюка.
Biography of Vasyl Perepyliuk","""Новими Дорогами"" 
 Via New Roads ",
5361,3,Decorative Frame,,Unknown Publication,
5370,3,"""Знайомі"" 
Friends ","Book Cover - Unknown Artist
1961","""Знайомі"" ",
5373,3,Background Flat for Book Cover,,Unknown Publication,
5378,3,Commemorative Ribbon,"St. John the Baptist Ukrainian-Catholic church
Fork River, MB", ,
5403,3,Orthodox Church Flags,,Unknown Publication,
5431,3,Photo Collage,Unidentified Event,Unknown Publication,
5437,3,Ukrainian School Class," Headshots  of Students attending St. Sophia Sobor, Montreal.",Unknown Publication,
5530,3,Large Group Photo,Unidentified Event,Unknown Publication,
5554,3,Three Women Decorating Pysanky,Unidentified Event,Unknown Publication,
5580,3,Three Young People's Heads for Canadian Media,Promotional image for Government of Canada Multiculturalism program,Unknown Publication,
5686,3,"Iван Xрін
John Hrin","Donor «Меценат» from Windsor, Ontario  $20,055.00 to the Shevchenko Foundation. ",Unknown Publication,
5715,3,St. Andrews College,Architectural Drawing ,Unknown Publication,
5717,3,The Original St. Andrews College,,Unknown Publication,
5743,3,Group Photo ,"In front of St. Andrew's College
Winnipeg, MB",Unknown Publication,
5767,3,Ukerainian Women's Association of Canada,"Signing a Contract 
c.1953",Unknown Publication,
5773,3,Thatched Roof Building,Unidentified location,Unknown Publication,
67,4,Embroidery Pattern,,"Мистецькі скарби українських вишивок - С. Сечишин
Art Treasures of Ukrainian Embroidery by S. Stechishin 
 1950
",101
107,4,Needlework Display,"Saskatoon Embroidery Exhibit 
c.1930","Ukrainian Embroidery Designs and Stitches
1957",4
111,4,Needlework Display,"Saskatoon Embroidery Exhibit 
c.1951","Ukrainian Embroidery Designs and Stitches
1957",8
152,4,"""Salute to Wisdom""","Choreographed by Maria Pasternakova, danced by her pupils.","Українська жінка в хореографії - Пастернакова, Марія.  
Ukrainian Woman in Choreography by Maria Pasternakova
1963",197
165,4,"""Verkhovyna""",Unidentified ,"Українська жінка в хореографії - Пастернакова, Марія.  
Ukrainian Woman in Choreography by Maria Pasternakova
1963",37
175,4,"Дамян Многогрішний
Damian the Sinner",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
1966",147
177,4,"Михайло Драгоманів
Mykhailo Drahomaniv",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
1966",207
188,4,"Князь Роман Мстиславич
Prince Roman Mstislavich",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
1966",66
216,4,"Перші будителі України
The First ""Awakeners"" of Ukraine",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
1966",177
232,4,Soldiers on Horseback,Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
1966",
261,4,Woman wearing an Embroidered Blouse,Unidentified ,"Мистецькі скарби українських вишивок - С. Сечишин 
Art Treasures of Ukrainian Embroidery by S. Stechishin 
1950",96
267,4,Poltavski Pattern for a Tablecloth,,"Мистецькі скарби українських вишивок - С. Сечишин 
Art Treasures of Ukrainian Embroidery by S. Stechishin 
1950",104b
277,4,Map of the Dnieper River,,Unknown Publication,
283,4,Map of Homesteads in Canada,,Unknown Publication,
315,4,"Її Окрадину Збудили
They Awoke in her What Was Stolen",Authored by Ludmila Kovalenko  ,"Її Окрадину Збудили - Людмила Коваленко
They Awoke in her What Was Stolen by Ludmila Kovalenko
1968  ",cover
318,4,Bench in a Park,Unidentified Location,Unknown Publication,
375,4,House of Lakyma Hawshka,,Unknown Publication,
391,4,Crowd of People on a Street,Unidentified Location,Unknown Publication,
409,4,"Пан і Пані Сітко-Пелешок
Mr. & Mrs. Sitko - Peleshuk",,Unknown Publication,
418,4,"Ілія і Ефразина Козак
Eli & Efrasyna Kozak ",,Unknown Publication,
437,4,"М. Мамреґа
M. Mamrega ",,Unknown Publication,
438,4,"Ждан Рудницький
Yaroslav Bohdan (Zhdan) Rudnytsky",,Unknown Publication,
439,4,"Яким Климашко 
Jacob Klymashko",,Unknown Publication,
472,4,"Андрій Гринишин
Andrew Hrynyshyn",,Unknown Publication,
478,4,"Марія Ілащук
Mary Elaschuk",,Unknown Publication,
488,4,Portrait of Wasyl (Bill) Ochitwa,,Unknown Publication,
500,4,"Фамілія Міносорів
Minosoriv Family",,Unknown Publication,
527,4,"Пан і Пані Бурко
Mr. & Mrs. Burko",,Unknown Publication,
533,4,"Мирон і Анна Крипякевич
Myron & Anna Krypakevych",,Unknown Publication,
540,4,"Анна Данилюк
Anna Danyliuk",,Unknown Publication,
544,4,"Максим Стрільчук
Maxym Strilchuk",Graduation Photo - B. Pharmacy,Unknown Publication,
561,4,"Григорій і Василина Скварчук
Gregory & Lena Skvarchuk",,Unknown Publication,
636,4,Open Window, Children's Poetry  ,"""Бедрик"" О. Лятуринська ; упорядкувала. О. Соловей
Bendryk By O Liaturynska; Edited by O. Solovey
(1956)",11a
647,4,"Вовчик і Зайяик 
Wolf Cub & Bunny", Children's Poetry  ,"""Бедрик"" О. Лятуринська ; упорядкувала. О. Соловей
Bendryk By O Liaturynska; Edited by O. Solovey
(1956)",37
709,4,"Григорій Винійчук
Hryhory Wynnychuk",,Unknown Publication,
711,4,"Пан Вавриков
Mr. Wawrykow",,Unknown Publication,
714,4,"Пані Марія Симчич
Mrs. Maria Symchych",,Unknown Publication,
759,4,"Пані Марія Михайлишин
Mrs. Mary Michalyshyn",,Unknown Publication,
781,4,"Євген Звоздецький
Gene Zwozdesky ",Conducting Shumka's Orchestra during a concert,Unknown Publication,
788,4,"Григорій і Анна Іванюк
Gregory & Anna Ewaniuk",,Unknown Publication,
839,4,"Аликсандра Кіндрачук
Sandra Kindrachuk",,Unknown Publication,
845,4,"М. А. Відняскій
M.A. Winiarsky",,Unknown Publication,
862,4,"Іона Ткач
Iona Tkach",,Unknown Publication,
965,4,"А. Титеша 
A. Tytesha ",,Unknown Publication,
975,4,"Мотрона Грицько
Matron Hrytsko ",,Unknown Publication,
1027,4,Portrait of Mr. & Mrs. Dolynchuk,,Unknown Publication,
1075,4,"Пан Шандро
Mr Shandro",,Unknown Publication,
1093,4,Hilda Tuskey,,Unknown Publication,
1105,4,W. Trischuk,,Unknown Publication,
1111,4,Victor,,Unknown Publication,
1112,4,"П-на П. Сохацька ІІ
Miss P. Sohatsky II",,Unknown Publication,
1123,4,"І. О. Коваль
I.[J] O. Koval",,Unknown Publication,
1124,4,"Лись Курбас
Les Kurbas","A Ukrainian and Soviet actor, theater and film director.
1887-1937",Unknown Publication,
1220,4,UWAC Group Photo,"Oshawa, ON","25th anniversary concert program
1968",
1226,4,"Пані Ткачук
Mrs Tkachuk",,"25th anniversary concert program
1968",
1236,4,"Пана Лучка
Ms. Luchka",,"25th anniversary concert program
1968",
1257,4,UWAC Group Photo ,"Lesia Ukrainka Branch, Menzi, MB
c 1951",Twenty Five Years of UWAC 1926-1951,311
1260,4,UWAC Group Photo ,"Olena Pchilka Branch. 
North Battleford, SK
c 1951",Twenty Five Years of UWAC 1926-1951,520
1263,4,UWAC Group Photo,"O. Pchilka Branch
Prelate, SK 
1951",Twenty Five Years of UWAC 1926-1951,476
1275,4,UWAC Group Photo ,"""Tryzub"" Branch, Toronto, Ontario
c 1951",Twenty Five Years of UWAC 1926-1951,366
1284,4,UWAC Group Photo ,"Olga. Kobylianska Branch
Mazepa, SK
1951",Twenty Five Years of UWAC 1926-1951,430
1290,4,"CYMK Group Photo, ","St. Johns Cathedral, Edmonton, AB",Twenty Five Years of UWAC 1926-1951,208
1291,4,UWAC Group Photo ,"Central Canadian Executive of the Ukrainian Women's Association of Canada
1951",Twenty Five Years of UWAC 1926-1951,168
1294,4,UWAC Group Photo ,"Dufrost, MB 
1952",Twenty Five Years of UWAC 1926-1951,327
1339,4,"М. Деделюк
M. Didyliuk",,Unknown Publication,
1349,4,"Бл. п. д-р Лонгин Горбачевський
In memory of Longin Horbachewsky",,Unknown Publication,
1365,4,Portrait of a Young Couple,Unidentified donors to the Shevchenko Foundation,Unknown Publication,
1366,4,"Роман і Соня Стратійчук 
Roman & Sonia Stratychuk",Donated $1000.00 to the Shevchenko Foundation on their 40th wedding anniversary.,Unknown Publication,
1376,4,"Роксоляна Росляк
Roxolana Rosliak",,Unknown Publication,
1395,4,"Михайло Нападій
Michael Napady","From Wroxton, SK who donated $12,000.00 to the Shevchenko Foundation. (Patron)",Unknown Publication,
1424,4,Group Photograph,"Mohyla Women's Association 
1940",Unknown Publication,
1428,4,Graduation Photos,"Graduating class of 1935-1936 from the Peter Mohyla Ukrainian Institute in Saskatoon, SK",Unknown Publication,
1437,4,Graduation Photos,"Graduating class of 1935-1936 from the Peter Mohyla Ukrainian Institute in Saskatoon, SK",Unknown Publication,
1545,4,"М. Кругляк
M. Kruhliak",,Unknown Publication,
1598,4,"Рідна школа 
Ukrainian School ","Winnipeg, MB",Unknown Publication,
1652,4,"Анна Ковальчук
Anna Kovalchuk",,Unknown Publication,
1767,4,"Пана Філик
Miss Filyk",,Unknown Publication,
1771,4,"Пана Райчиба
Miss Raycheba",,Unknown Publication,
1775,4,"Пана Чорний
Miss Chorney",,Unknown Publication,
1779,4,"Пана Максимечь
Miss Maksymetz",,Unknown Publication,
1784,4,Portrait of a Young Woman,,Unknown Publication,
1802,4,"Проф. Тимошенко 
Professor Tymoshenko  ","Промовляє на отворених колеґіа св. Андрея в Royal Alex Hotel 
1946 26ого Листопада
Opening of St. Andrew's College, at the Royal Alex Hotel, Winnipeg, MB
November 26, 1946",Unknown Publication,
1832,4,"Пана Костюк
Miss Kostiuk",,Unknown Publication,
1835,4,"Прот. А. Хруставка
Very Reverend A. Khrustavka",,Unknown Publication,
1846,4,"о. П. Гоптарейк
Father P. Hoptareyk ","
Промовляє на отворених колеґіа св. Андрея в Royal Alex Hotel 1946 26ого Листопада",Unknown Publication,
1880,4,"St. Volodymyr Sobor
Kyiv, Ukraine",,Unknown Publication,
1885,4,"St. Sofia Cathedral
Kyiv, Ukraine",,Unknown Publication,
1949,4,"Е. Федус
Ivan Fodus"," Portage La Prairie, MB.  
Donation  $1000.00 (Founder)",Unknown Publication,
2066,4,Young Taras Shevchenko,"Self Portrait
1838",Unknown Publication,
2107,4,UWAC - Event,"Windsor, Ontario",Unknown Publication,
2116,4,UWAC - Event,Voscal/Vescal  ,Unknown Publication,
2129,4,Mohyla Graduate Portraits,"Graduation Photos from the Peter Mohyla Ukrainian Institute in Saskatoon, SK 
1922-1923.",Unknown Publication,
2193,4,UWAC Group Photo ,"Lesia Ukrainka Branch
Lemberg, Saskatchewan",Twenty Five Years of UWAC 1926-1951,516
